title,releaseDate,genre,language
Minyan,2021-10-22,"Drama, Lgbtq+",English
The Untold Tales of Armistead Maupin,2017-09-22,"Documentary, Lgbtq+",English
What Do We See When We Look at the Sky?,2021-11-12,Drama,Georgian
Rambo: Last Blood,2019-09-20,Action,English
Uncle John,2015-09-18,Mystery & thriller,English
Everybody's Talking About Jamie,2021-09-10,"Musical, Drama, Lgbtq+",English
A Son,2021-12-10,Drama,Arabic
The Isle,2019-02-08,"Horror, Mystery & thriller",English
Deadpool 2,2018-05-18,"Action, Adventure, Comedy, Fantasy",English
Chevalier,2016-05-27,Comedy,Greek
Aware: Glimpses of Consciousness,2021-09-24,Documentary,English
The Workers Cup,2018-06-08,Documentary,English
The Lion King,2019-07-19,"Kids & family, Adventure, Drama",English
Troublemakers: The Story of Land Art,2016-01-08,Documentary,English
Trainwreck,2015-07-17,"Romance, Comedy",English
Three,2016-06-24,"Action, Mystery & thriller",Chinese
Mediterranea,2015-11-20,Drama,French (Canada)
I Can Only Imagine,2018-03-16,"Biography, Drama, Music",English
Breaking,2022-08-26,"Crime, Drama, Mystery & thriller",English
A Star Is Born,2018-10-05,"Romance, Drama, Music",English
Boy Meets Girl,2015-02-06,"Comedy, Drama, Romance",English
The Messenger,2015-12-04,Documentary,English
American Woman,2019-06-14,Drama,English
Little Woods,2019-04-19,Drama,English
The Man in the Hat,2021-05-14,Comedy,English
Spider-Man: Homecoming,2017-07-07,"Action, Adventure, Fantasy, Comedy",English
The Son of Joseph,2017-01-13,Drama,French (France)
Fruits Basket: Prelude,2022-06-25,"Romance, Anime, Fantasy",Japanese
Come to Daddy,2020-02-07,"Comedy, Mystery & thriller",English
Tale of Tales,2016-04-22,"Fantasy, Adventure, Comedy",English
Olga,2022-06-24,Drama,Ukrainian
Enola Holmes 2,2022-10-28,"Mystery & thriller, Drama, Action, Adventure, Crime",English
Zoo,2018-06-08,"History, Drama, War",English (United Kingdom)
Sophie Jones,2021-03-02,Drama,English
Bad Kids of Crestview Academy,2017-01-13,Mystery & thriller,English
Dark Horse,2016-05-06,Documentary,English (United Kingdom)
War Room,2015-08-28,Drama,English
The Harder They Fall,2021-10-22,"Western, Drama",English
We Are Little Zombies,2020-07-10,Drama,Japanese
Little Girl,2021-09-17,Documentary,French (France)
Milford Graves Full Mantis,2018-07-13,"Documentary, Music",English
God's Own Country,2017-10-25,"Drama, Romance, Lgbtq+",English (United Kingdom)
The Burnt Orange Heresy,2020-03-06,Mystery & thriller,English
Never Look Away,2018-11-30,"History, Drama",German
All About Nina,2018-09-28,"Comedy, Drama",English
Perfectos desconocidos,2019-01-11,"Comedy, Drama",Spanish
Garry Winogrand: All Things Are Photographable,2018-09-19,Documentary,English
Free Puppies!,2022-08-12,Documentary,English
Mommy,2015-01-23,Drama,French (Canada)
I Am Big Bird: The Caroll Spinney Story,2015-05-08,"Documentary, Biography, Drama",English
You Cannot Kill David Arquette,2020-08-21,Documentary,English
Merchants of Doubt,2015-03-06,Documentary,English
Sui Dhaaga: Made in India,2018-09-28,Drama,Hindi
"Harry Chapin: When in Doubt, Do Something",2020-10-16,"Documentary, Music",English
Mars One,2023-01-05,"Drama, Lgbtq+",Portuguese (Brazil)
Queen of Diamonds,2019-04-26,Drama,English
Call Jane,2022-10-28,Drama,English
Tab Hunter Confidential,2015-10-16,"Documentary, Lgbtq+",English
The Djinn,2021-05-14,"Horror, Mystery & thriller",English
The Captain,2019-10-18,Drama,Chinese
Deli Man,2015-02-27,Documentary,English
Abominable,2019-09-27,"Kids & family, Comedy, Adventure, Animation",English
Spare Parts,2015-01-16,Drama,English
Nancy,2018-06-08,"Mystery & thriller, Drama",English
Danger Close,2017-04-28,Action,English
Mr. Malcolm's List,2022-07-01,"Romance, Comedy",English
Wrath of Man,2021-05-07,"Action, Mystery & thriller, Crime, Drama",English
Keep the Change,2018-03-16,"Romance, Comedy",English
Genesis 2.0,2019-01-02,Documentary,English
Good Girls Get High,2019-11-08,Comedy,English
Amazing Grace,2018-11-23,"Documentary, Music",English
One Piece Film Red,2022-11-04,"Action, Adventure, Anime",Japanese
Saint Judy,2019-03-01,"Biography, Drama",English
Diamantino,2019-05-24,"Comedy, Lgbtq+",Portuguese
Benedetta,2021-12-03,"Drama, Lgbtq+, Biography, History",French (France)
Monsters and Men,2018-09-28,Drama,English
Lost in America,2020-02-28,Documentary,English
Furie,2019-03-01,Action,Vietnamese
Broadway Rising,2022-12-05,"Drama, Documentary",English
Gratitude Revealed,2022-09-16,Documentary,English
Arrival,2016-11-11,"Sci-fi, Mystery & thriller, Drama",English
Pali Road,2016-04-28,"Mystery & thriller, Drama, Romance",Chinese
Preparations to be Together for an Unknown Period of Time,2021-01-22,Drama,Hungarian
The Old Man & the Gun,2018-10-19,"Comedy, Drama, Mystery & thriller",English
The Tale of King Crab,2022-04-15,"Adventure, Drama",Italian
Tod@s caen,2019-08-30,"Romance, Comedy",Spanish
In the Court of the Crimson King,2022-10-19,"Documentary, Music",English
Dara of Jasenovac,2021-02-05,"History, Drama, War",Serbian
Something In The Dirt,2022-11-04,"Sci-fi, Comedy, Horror",English
Creed III,2023-03-03,Drama,English
Love in Kilnerry,2022-04-09,"Comedy, Romance",English
Sword Art Online the Movie: Progressive - Scherzo of Deep Night,2023-02-03,"Sci-fi, Adventure, Fantasy, Anime",Japanese
Blaze,2023-01-20,"Crime, Drama",English (Australia)
Blindspotting,2018-07-27,"Comedy, Drama",English
Dope,2015-06-19,Comedy,English
Is That a Gun in Your Pocket?,2016-09-16,Comedy,English
CODA,2021-08-13,Drama,English
The Dissident,2020-12-25,Documentary,Arabic
The Silence of Others,2019-05-08,Documentary,Spanish (Spain)
When Lambs Become Lions,2019-11-22,Documentary,English
I Touched All Your Stuff,2015-08-28,"Documentary, Biography, Adventure",English
Texas Heart,2016-05-20,Drama,English
Our Time Will Come,2017-07-07,"History, Drama, War",Chinese
Amazon Adventure,2017-04-18,Drama,English
Gangubai Kathiawadi,2022-02-25,"Biography, Drama",Hindi
Sweet Bean,2016-03-18,"Comedy, Drama",Japanese
Star Wars: The Force Awakens,2015-12-18,"Sci-fi, Adventure, Action, Fantasy",English
"Empathy, Inc.",2019-09-13,"Drama, Sci-fi, Mystery & thriller",English
The Guardians,2018-05-04,"History, Drama",French (France)
Inside the Rain,2020-03-13,"Romance, Comedy, Drama",English
Asura: The City of Madness,2016-10-14,"Crime, Drama, Mystery & thriller, Action",Korean
Girl on the Third Floor,2019-10-25,"Horror, Mystery & thriller",English
Jumanji: The Next Level,2019-12-13,"Adventure, Action, Comedy, Fantasy",English
Bull,2022-04-01,"Mystery & thriller, Drama",English (United Kingdom)
Sun Choke,2016-08-05,Mystery & thriller,English
Let Her Out,2017-10-20,"Horror, Sci-fi, Mystery & thriller",English
Jersey,2022-04-22,Drama,Hindi
Missing,2023-01-20,Mystery & thriller,English
Selma,2015-01-09,"History, Drama",English
The County,2021-04-30,"Drama, Comedy",English
Always Be My Maybe,2019-05-31,"Romance, Comedy",English
Among the Believers,2016-09-30,Documentary,Urdu
Fiddler: A Miracle of Miracles,2019-08-23,"Documentary, Music",English
Salaam Venky,2022-12-09,Drama,Hindi
Last Night in Soho,2021-10-29,"Mystery & thriller, Drama",English (United Kingdom)
The Seventh Fire,2016-07-22,"Documentary, Drama",English
Yomeddine,2019-05-31,"Adventure, Comedy, Drama",Arabic
Champions,2023-03-10,Comedy,English
Of an Age,2023-02-17,"Romance, Drama, Lgbtq+",English
The Settlers,2017-03-03,Documentary,English
Maika: The Girl From Another Galaxy,2022-06-03,"Adventure, Kids & family, Sci-fi",Vietnamese
Alienoid,2022-08-26,"Action, Fantasy, Sci-fi",Korean
No Safe Spaces,2019-10-25,Documentary,English
Raising Bertie,2017-06-09,Documentary,English
Cartel Land,2015-07-03,Documentary,English
Demon,2016-09-09,"Horror, Mystery & thriller",Polish
Mister America,2019-10-09,Comedy,English
The Eternal Daughter,2022-12-02,"Mystery & thriller, Drama",English
The Laureate,2022-01-21,"Drama, Romance",English (United Kingdom)
Pause,2019-06-14,Drama,Greek
Scream VI,2023-03-10,"Horror, Mystery & thriller",English
On the Count of Three,2022-05-13,"Comedy, Drama",English
The Birthday Cake,2021-06-18,"Mystery & thriller, Crime, Drama",English
What Lies Upstream,2018-01-12,Documentary,English
"Juliet, Naked",2018-08-17,"Romance, Comedy, Music",English
Marvelous and the Black Hole,2022-04-22,Comedy,English
Beast,2018-05-11,"Mystery & thriller, Horror, Romance",English (United Kingdom)
Denial,2016-10-21,Drama,English
Clive Davis: The Soundtrack of Our Lives,2017-09-27,"Documentary, Music",English
A War,2016-02-12,"War, Drama",Danish
Chasing Einstein,2019-09-13,Documentary,English
Calling All Earthlings,2018-06-29,Documentary,English
Better Days,2019-11-08,Drama,Chinese
Flock of Four,2018-04-13,Drama,English
1915,2015-04-17,"Drama, Mystery & thriller",English
Quest,2017-12-01,"Documentary, Music",English
Long Shot,2019-05-03,"Romance, Comedy",English
Jonathan Agassi Saved My Life,2022-05-13,"Documentary, Lgbtq+",English
Bending the Arc,2017-10-06,Documentary,English
Last Night in Rozzie,2021-09-17,Drama,English
Handsome Devil,2017-06-02,"Drama, Lgbtq+",English
Onward,2020-03-06,"Kids & family, Comedy, Adventure, Fantasy, Animation",English
Queen Bees,2021-06-11,"Comedy, Drama, Romance",English
Brian Banks,2019-08-09,"Biography, Drama",English
Admiral,2016-03-11,"History, Drama, Biography, War",Dutch
Devotion,2022-11-23,"War, History, Drama, Action",English
Rita Moreno: Just a Girl Who Decided to Go For It,2021-06-18,Documentary,English
We Are As Gods,2022-08-12,Documentary,English
Ant-Man and The Wasp: Quantumania,2023-02-17,"Action, Adventure, Fantasy, Comedy",English
The Weekend,2019-09-13,Comedy,English
Janis: Little Girl Blue,2015-11-27,Documentary,English
Jim Allison: Breakthrough,2019-09-27,Documentary,English
King in the Wilderness,2018-03-30,Documentary,English
Hunter Gatherer,2016-11-16,Drama,English
PAW Patrol: The Movie,2021-08-20,"Kids & family, Comedy, Adventure, Animation",English
Styx,2019-02-27,"Mystery & thriller, Drama",English
Booksmart,2019-05-24,"Comedy, Lgbtq+",English
Buzzard,2015-03-06,Drama,English
Waves,2019-11-15,Drama,English
Eddie the Eagle,2016-02-26,"Biography, Comedy, Drama",English
True Things,2022-09-09,"Drama, Romance",English
Major,2022-06-03,"Biography, Action, Drama",Telugu
Light From Light,2019-11-01,Drama,English
Stink!,2015-11-27,Documentary,English
Batkid Begins: The Wish Heard Around the World,2015-06-26,Documentary,English
The 12th Man,2018-05-04,"Adventure, History, Drama",English
The Souvenir Part II,2021-10-29,"Drama, Romance",English
Kuessipan,2021-03-26,Drama,French (Canada)
Nobody,2021-03-26,"Action, Mystery & thriller, Comedy",English
A Father's Legacy,2021-06-17,Drama,English
King Jack,2016-06-10,Drama,English
Strong Island,2017-09-15,Documentary,English
Godzilla: King of the Monsters,2019-05-31,"Sci-fi, Action, Adventure",English
Creem: America's Only Rock 'n' Roll Magazine,2020-08-07,"Documentary, Music",English
Fatale,2020-12-18,"Mystery & thriller, Drama",English
Every Last Child,2015-06-03,Documentary,Urdu
For Sama,2019-07-26,"Documentary, War",Arabic
A Perfect Enemy,2021-06-11,"Mystery & thriller, Action",English
"Faith, Hope & Love",2019-03-15,"Romance, Comedy",English
Are We Not Cats,2018-02-23,"Horror, Comedy",English
The Last Dalai Lama?,2017-07-28,Documentary,English
Dangal Yuddham,2016-12-21,"Biography, Drama, Action",Hindi
The Sea Beast,2022-06-24,"Kids & family, Fantasy, Adventure, Comedy, Animation",English
Here Today,2021-05-07,"Comedy, Drama",English
Requiem for the American Dream,2015-04-18,Biography,English
Lorelei,2021-07-30,Drama,English
The Invitation,2016-04-08,"Mystery & thriller, Drama",English
For the Birds,2019-05-31,"Documentary, Drama",English
Made in Bangladesh,2020-06-05,Drama,Bangla
The Wedding Plan,2017-05-12,"Romance, Comedy",Hebrew
Wild Nights With Emily,2019-04-12,"Comedy, Lgbtq+",English
The Eight Hundred,2021-02-26,"War, History, Drama",Chinese
Carmine Street Guitars,2019-04-24,"Documentary, Music",English
Run the Race,2019-02-22,Drama,English
The Last Deal,2023-02-03,"Action, Crime, Drama, Mystery & thriller",English
The Wrecking Crew,2015-03-13,"Documentary, Music",English
Far From the Madding Crowd,2015-05-01,"Romance, Drama",English
Project Wolf Hunting,2022-10-07,"Action, Mystery & thriller",Korean
Under the Wire,2018-11-16,Drama,English (United Kingdom)
Notes on Blindness,2016-11-16,Documentary,English (United Kingdom)
Bring Your Own Brigade,2021-08-06,Documentary,English
Everybody Loves Somebody,2017-02-17,"Romance, Comedy",Spanish
The Last Tree,2020-06-26,Drama,English (United Kingdom)
Barbershop: The Next Cut,2016-04-15,Comedy,English
The Silent Child,2017-08-08,Drama,English (United Kingdom)
The Two Popes,2019-11-27,Drama,English
Won't You Be My Neighbor?,2018-06-29,Documentary,English
A Woman's Life,2017-05-05,Drama,French (France)
Jungle Cruise,2021-07-30,"Adventure, Action, Comedy, Fantasy",English
Okko's Inn,2019-04-22,"Fantasy, Anime",Japanese
Slumberland,2022-11-11,"Kids & family, Fantasy",English
A Bag of Marbles,2018-03-23,Drama,French (France)
In Search of Israeli Cuisine,2016-01-28,Documentary,English
Adam,2021-03-05,Drama,Arabic
John Wick: Chapter 4,2023-03-24,Action,English
Wrestle,2019-02-22,Documentary,English
The Head Hunter,2019-04-05,"Horror, Fantasy, Adventure",English
Super Dark Times,2017-09-29,"Mystery & thriller, Drama",English
Murina,2022-07-08,Drama,Croatian
"Lingui, The Sacred Bonds",2022-02-04,Drama,French (France)
Tel Aviv on Fire,2019-08-09,"Comedy, Drama",Arabic
The White Tiger,2021-01-13,Drama,Hindi
Nothing Compares,2022-09-23,"Documentary, Music, Biography",English
Beautifully Broken,2018-08-24,Drama,English
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,2023-01-20,"Fantasy, Adventure, Anime",Japanese
Avengers: Age of Ultron,2015-05-01,"Action, Adventure, Fantasy, Sci-fi",English
Impossible Monsters,2020-02-14,Mystery & thriller,English
Rimini,2023-03-17,Drama,German
Accident Man: Hitman's Holiday,2022-10-14,"Action, Comedy, Crime",English
Rubikon,2022-07-01,"Sci-fi, Adventure, Mystery & thriller",English
Roma,2018-11-21,Drama,Spanish
Buñuel in the Labyrinth of the Turtles,2019-08-16,"Drama, Animation",Spanish (Spain)
Scotty and the Secret History of Hollywood,2018-07-27,"Documentary, Lgbtq+",English
Extreme Job,2019-01-25,Comedy,Korean
Palm Trees and Power Lines,2023-03-03,Drama,English
Tomorrow's Hope,2021-05-20,Documentary,English
Speak No Evil,2022-09-09,"Horror, Mystery & thriller, Drama",English
The Eyes of Tammy Faye,2021-09-17,"Biography, Drama",English
Pete's Dragon,2016-08-12,"Kids & family, Fantasy, Adventure",English
Juniper,2023-02-24,Drama,English
Little Women,2019-12-25,Drama,English
The Loneliest Whale: The Search for 52,2021-07-09,Documentary,English
Red Notice,2021-11-05,"Action, Comedy",English
Ambulance,2022-04-08,"Action, Mystery & thriller, Crime, Drama",English
Blade Runner 2049,2017-10-06,"Sci-fi, Mystery & thriller",English
Nomadland,2021-02-19,Drama,English
The Boss Baby: Family Business,2021-07-02,"Kids & family, Comedy, Adventure, Animation",English
Shaun the Sheep Movie,2015-08-05,"Kids & family, Comedy, Adventure, Animation",English
Hell or High Seas,2021-10-08,Documentary,English
Doomsdays,2015-06-05,Comedy,English
Iris,2015-04-29,"Documentary, Biography, History, Drama",English
Menashe,2017-07-28,"Comedy, Drama",Yiddish
Depeche Mode: Spirits in the Forest,2019-11-21,"Documentary, Music",English
Indemnity,2022-02-11,"Action, Mystery & thriller",English
The Quake,2018-12-14,"Action, Adventure, Mystery & thriller",Norwegian
80 for Brady,2023-02-03,Comedy,English
The Art of Self-Defense,2019-07-19,Comedy,English
Street Gang: How We Got to Sesame Street,2021-04-23,Documentary,English
Kubo and the Two Strings,2016-08-19,"Kids & family, Fantasy, Adventure, Action, Animation",English
The Blue Caftan,2023-02-10,Drama,Arabic
1945,2017-11-01,Drama,Hungarian
Cicada,2021-10-29,"Drama, Romance, Lgbtq+",English
'71,2015-02-27,"Action, Mystery & thriller",English
Gabriel,2015-06-19,Drama,English
"McFarland, USA",2015-02-20,"Drama, Biography",English
Tragedy Girls,2017-10-20,"Horror, Comedy",English
Nina Wu,2021-03-26,"Mystery & thriller, Drama",Chinese
2021 Oscar Nominated Shorts - Animation,2021-04-02,Animation,English
How to Blow Up a Pipeline,2023-04-07,"Mystery & thriller, Drama",English
Motherland,2017-09-08,Documentary,Tagalog
The Other Side of the Wind,2018-11-02,"Comedy, Drama",English
The Light of the Moon,2017-11-01,Drama,English
Food Evolution,2017-06-23,Documentary,English
I Called Him Morgan,2017-03-24,Documentary,English
After Parkland,2019-11-29,Documentary,English
Believer,2018-06-08,"Crime, Drama, Mystery & thriller, Action",Korean
Corpus Christi,2020-02-24,Drama,Polish
Hell or High Water,2016-08-19,"Crime, Drama, Mystery & thriller, Western, Action",English
Ingrid Bergman: In Her Own Words,2015-11-13,Documentary,Swedish
The Distant Barking of Dogs,2019-01-11,Documentary,Russian
One Week and a Day,2017-04-28,Drama,Hebrew
Gigi & Nate,2022-09-02,Drama,English
Pick of the Litter,2018-08-31,Documentary,English
Chess Story,2023-01-13,"History, Drama, War",German
La pazza gioia,2017-05-05,"Comedy, Drama",Italian
Shoplifters,2018-11-23,"Crime, Drama, Adventure",Japanese
Land,2021-02-12,Drama,English
Avicii: True Stories,2018-12-14,"Documentary, Music",English
Summer in the Forest,2018-03-23,Documentary,English (United Kingdom)
The Other Side of Hope,2017-12-01,"Comedy, Drama",Finnish
Knock Down the House,2019-05-01,Documentary,English
Final Set,2021-08-27,Drama,French (France)
The Lure,2017-02-01,Mystery & thriller,Polish
The Sower,2019-03-01,"History, Drama, Romance",French (France)
Doctor Strange in the Multiverse of Madness,2022-05-06,"Action, Adventure, Fantasy, Horror",English
Till,2022-10-28,"Drama, History, Biography",English
Egg,2019-01-18,Comedy,English
Memory,2022-04-29,"Action, Mystery & thriller",English
Just Charlie,2018-01-30,Drama,English (United Kingdom)
Love After Love,2018-03-30,Drama,English
The Hate U Give,2018-10-19,"Crime, Drama",English
Divide and Conquer: The Story of Roger Ailes,2018-12-07,Documentary,English
The Road to Galena,2022-07-08,Drama,English
Black Bear,2020-12-04,Drama,English
The Autopsy of Jane Doe,2016-12-21,"Horror, Mystery & thriller",English
On the Rocks,2020-10-02,Comedy,English
The Heiresses,2019-01-16,"Drama, Lgbtq+",Spanish
Western,2018-02-16,Drama,German
End of the Century,2019-08-16,"Drama, Romance",Spanish
The Opening Act,2020-10-16,Comedy,English
Gimme Danger,2016-10-28,"Documentary, Music",English
Feast of the Seven Fishes,2019-11-15,"Holiday, Comedy",English
People's Republic of Desire,2018-11-30,Documentary,Chinese
The Report,2019-11-15,"Drama, Mystery & thriller",English
The Human Trial,2022-06-24,Documentary,English
Incredibles 2,2018-06-15,"Kids & family, Comedy, Adventure, Action, Animation",English
Worth,2021-09-03,"Drama, Biography",English
At the Fork,2016-07-13,Documentary,English
The Conductor,2022-01-27,"Documentary, Music",English
Lean on Pete,2018-04-06,Drama,English (United Kingdom)
Night Owls,2015-12-04,"Romance, Comedy",English
"Cassandro, the Exotico!",2019-07-19,"Documentary, Lgbtq+",English
Dear Santa,2020-12-04,"Holiday, Documentary",English
Vazante,2018-01-12,"History, Drama",Portuguese (Brazil)
My Darling Vivian,2020-06-19,Documentary,English
The Youth Governor,2022-08-26,Documentary,English
The Dark Divide,2020-09-18,"Adventure, Drama",English
The Grand Duke of Corsica,2021-10-15,"Comedy, Drama",English (United Kingdom)
Where's My Roy Cohn?,2019-09-20,Documentary,English
Off the Rails,2016-11-04,Documentary,English
Lambert & Stamp,2015-04-03,Documentary,English
The Inhabitant,2022-10-07,"Horror, Mystery & thriller",English
The Gospel of Eureka,2019-02-08,"Documentary, Lgbtq+",English
The War With Grandpa,2020-10-09,Comedy,English
Finding Babel,2016-10-26,Documentary,English
Ant-Man,2015-07-17,"Action, Adventure, Fantasy, Comedy",English
Anomalisa,2016-03-18,"Comedy, Drama, Animation",English
Land of Mine,2017-02-17,"War, History, Drama",German
L'économie du couple,2017-08-09,Drama,French (France)
The Good Liar,2019-11-15,"Mystery & thriller, Crime, Drama",English
Ron's Gone Wrong,2021-10-22,"Kids & family, Comedy, Animation",English
Long Way North,2016-09-30,"Adventure, Drama, Animation",French (France)
Venom: Let There Be Carnage,2021-10-01,"Action, Adventure, Fantasy, Sci-fi, Comedy",English
The Duke of Burgundy,2015-01-23,"Drama, Lgbtq+",English
Luce,2019-08-02,Drama,English
Youth,2017-12-15,Drama,Chinese
(Dis)Honesty: The Truth About Lies,2015-05-22,"Documentary, Drama",English
Truman & Tennessee: An Intimate Conversation,2021-06-18,"Documentary, Lgbtq+",English
The Sound of Violet,2022-04-29,"Romance, Comedy, Drama",English
Pavarotti,2019-06-07,"Documentary, Music",English
Kiki,2017-02-24,"Documentary, Lgbtq+",English
California Typewriter,2017-08-18,Documentary,English
Labyrinth of Cinema,2021-10-20,"Comedy, Drama, Fantasy, War, Sci-fi",Japanese
Tallulah,2016-07-29,Drama,English
City of Gold,2016-03-11,"Documentary, Biography",English
Full Time,2023-02-03,"Mystery & thriller, Drama",French (France)
Leaning Into the Wind: Andy Goldsworthy,2018-03-09,Documentary,English
Boom Bust Boom,2016-03-11,Documentary,English
Master of Light,2022-11-04,Documentary,English
Red Rocket,2021-12-03,"Comedy, Drama",English
Ma Rainey's Black Bottom,2020-11-25,"History, Drama, Music",English
Brian Wilson: Long Promised Road,2021-11-19,"Documentary, Music",English
Dying to Survive,2019-08-09,"Comedy, Drama",Chinese
The Paper Tigers,2021-05-07,"Action, Comedy",English
Psycho Raman,2016-06-24,"Mystery & thriller, Crime, Drama",Hindi
Thor: Ragnarok,2017-11-03,"Action, Adventure, Sci-fi, Fantasy, Comedy",English
Promising Young Woman,2020-12-25,"Comedy, Mystery & thriller",English
Mudbound,2017-11-17,"History, Drama",English
96 Souls,2017-05-26,"Drama, Mystery & thriller, Sci-fi",English
That Guy Dick Miller,2015-04-03,Documentary,English
Sgt. Will Gardner,2019-01-11,Drama,English
Tom of Finland,2017-10-13,"Biography, History, Drama, Lgbtq+",Finnish
Mandibles,2021-07-23,"Comedy, Fantasy",French (France)
Iceman,2019-03-15,"Adventure, Drama",German
Knuckleball,2018-10-05,"Horror, Mystery & thriller",English
Retrograde,2022-11-11,"Documentary, War",English
Jakob's Wife,2021-04-16,Horror,English
My Journey Through French Cinema,2017-06-23,Documentary,French (France)
The Villainess,2017-08-25,Action,Korean
Pig,2019-02-01,Comedy,Persian
What We Started,2018-03-23,Documentary,English
Raging Fire,2021-08-13,"Action, Mystery & thriller, Crime",Chinese
Little Pink House,2018-04-20,Drama,English
Return to Gorée,2021-06-11,"Documentary, Music",English
Wildflower,2023-03-17,"Comedy, Drama",English
Moana,2016-11-23,"Kids & family, Musical, Comedy, Adventure, Animation",English
Rottentail,2019-04-12,"Horror, Comedy",English
Time to Choose,2016-06-03,Documentary,English
The First Wave,2021-11-19,Documentary,English
Dave Made a Maze,2017-08-18,"Adventure, Comedy, Horror",English
The Kingmaker,2019-11-08,Documentary,English
Imitation Girl,2018-04-20,"Drama, Sci-fi",English
Spider-Man: No Way Home,2021-12-17,"Action, Adventure, Fantasy, Comedy",English
"Ma Belle, My Beauty",2021-08-20,"Drama, Lgbtq+, Romance",English
Missing Link,2019-04-12,"Kids & family, Comedy, Adventure, Animation",English
Reunion,2021-02-05,"Mystery & thriller, Horror",English
Brighton 4th,2022-01-28,"Comedy, Drama",Georgian
Tehran Taboo,2018-02-14,"Drama, Animation",Persian
When Today Ends,2021-05-14,Drama,English
Rodents of Unusual Size,2018-09-14,Documentary,English
Songs My Brothers Taught Me,2016-03-02,Drama,English
Buffaloed,2020-02-14,Comedy,English
Best Worst Thing That Ever Could Have Happened,2016-11-18,Documentary,English
Wait for Your Laugh,2017-11-03,Documentary,English
First Love,2019-09-27,"Crime, Drama, Comedy",Japanese
SHOT! The Psycho-Spiritual Mantra of Rock,2017-04-07,"Documentary, Music",English
Catherine Called Birdy,2022-09-23,"Adventure, Comedy, Drama",English
